Citation,cite,Country,Sample,Reference Criterion,Period (Timing),Case-Control,Uniform Test,Blinding,Cutoff,Sen,Spe
Uwakwe \& Okonkwo (2003),Uwakwe \& Okonkwo (\citeyear{Uwakwe:2003}),Nigeria,Clinical,Clinical interview,Postnatal (unclear),No,No,Unclear,$\geq$ 9,0.75,0.97
Adewuya et al. (2006),Adewuya et al. (\citeyear{Adewuya:2006a}),Nigeria,Clinical,MINI,Antenatal,Yes,No,Yes,$\geq$ 12,1,0.96
Agoub et al. (2005),Agoub et al. (\citeyear{Agoub:2005}),Morocco,Clinical,MINI,Postnatal (6 mo),No,No,No,$\geq$ 12,0.92,0.96
Adewuya et al. (2005),Adewuya et al. (\citeyear{Adewuya:2005}),Nigeria,Clinical,SCID,Postnatal (6 wk),Yes,No,Yes,$\geq$ 9,1,0.89
Adewuya (2006),Adewuya (\citeyear{Adewuya:2006}),Nigeria,Clinical,SADS,Postnatal (8 wk),No,Unclear,Unclear,$\geq$ 9,0.9,0.89
Chibanda et al. (2010),Chibanda et al. (\citeyear{Chibanda:2010}),Zimbabwe,Clinical,Clinical interview,Postnatal (6 wk),No,Yes,Yes,$\geq$ 12,0.88,0.89
Abiodun (2006),Abiodun (\citeyear{Abiodun:2006}),Nigeria,Clinical,PSE,Postnatal (6 wk),Yes,No,Yes,$\geq$ 9,0.88,0.84
Rochat et al. (2006),Rochat et al. (\citeyear{Rochat:2006}),South Africa,Clinical,SCID,Antenatal,No,Yes,Unclear,$\geq$ 13,0.69,0.78
Tesfaye et al. (2010),Tesfaye et al. (\citeyear{Tesfaye:2010}),Ethiopia,Clinical,Clinical interview,Postnatal (unclear),No,Yes,Yes,$\geq$ 8,0.85,0.77
Weobong et al. (2009),Weobong et al. (\citeyear{Weobong:2009}),Ghana,Community,CPRS,Postnatal (5-11 wk),Yes,Yes,Yes,$\geq$ 11,0.78,0.73
Lawrie et al. (1998),Lawrie et al. (\citeyear{Lawrie:1998}),South Africa,Clinical,Clinical interview,Postnatal (6 wk),No,No,Yes,$\geq$ 12,1,0.68
Taiwo \& Olayinka (2007),Taiwo \& Olayinka (\citeyear{Taiwo:2007}),Nigeria,Clinical,Clinical interview,Postnatal (6 wk),Yes,No,Yes,$\geq$ 7,0.72,0.62
Hanlon et al. (2008),Hanlon et al. (\citeyear{Hanlon:2008}),Ethiopia,Community,CPRS,Postnatal (unclear),No,Yes,Unclear,$\geq$ 6,0.77,0.36
